h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
9.9999999999999998e-17,1.0000000000000000e-14,5.0010440796545552e-01,1.4210854715202004e+00,5.0010440796549760e-01,9.2098106355474485e-01,4.2077452633293433e-14,7.6217813042403906e+00,-1.4210854715202003e+14,-0.0000000000000000e+00,0.0000000000000000e+00,1.4210854715202766e+14,7.6217813042403906e+00,7.6217813042403906e+00
3.1622776601683793e-16,3.1622776601683796e-14,5.0010440796545552e-01,4.4938668397781767e-01,5.0010440796541122e-01,5.0717723987637853e-02,4.4297898682543746e-14,7.6217813042403906e+00,-7.1054273576010000e+12,-0.0000000000000000e+00,3.2311742677852635e+00,7.1054273576086221e+12,7.6217813042403906e+00,4.3906070364551271e+00
1.0000000000000001e-15,1.0000000000000000e-13,5.0010440796545552e-01,4.9737991503207013e-01,5.0010440796543298e-01,2.7244929333853918e-03,2.2537527399890678e-14,7.6217813042403906e+00,0.0000000000000000e+00,-0.0000000000000000e+00,8.4010530962416876e+00,7.6217813042403906e+00,7.6217813042403906e+00,7.7927179200129704e-01
3.1622776601683794e-15,3.1622776601683792e-13,5.0010440796545552e-01,4.9432535237559955e-01,5.0010440796543176e-01,5.7790555898559748e-03,2.3758772726978350e-14,7.6217813042403906e+00,1.4210854715202005e+11,-0.0000000000000000e+00,7.7548182426846353e+00,1.4210854714439825e+11,7.6217813042403906e+00,1.3303693844424469e-01
1.0000000000000000e-14,9.9999999999999998e-13,5.0010440796545552e-01,4.9737991503207013e-01,5.0010440796543298e-01,2.7244929333853918e-03,2.2537527399890678e-14,7.6217813042403906e+00,7.1054273576010027e+09,-0.0000000000000000e+00,7.6514206661155066e+00,7.1054273499792213e+09,7.6217813042403906e+00,2.9639361875116066e-02
3.1622776601683796e-14,3.1622776601683794e-12,5.0010440796545552e-01,5.0106615263526677e-01,5.0010440796546440e-01,9.6174466981124862e-04,8.8817841970012523e-15,7.6217813042403906e+00,0.0000000000000000e+00,-0.0000000000000000e+00,7.5893821201740277e+00,7.6217813042403906e+00,7.6217813042403906e+00,3.2399184066362885e-02
1.0000000000000000e-13,1.0000000000000001e-11,5.0010440796545552e-01,5.0022208597511053e-01,5.0010440796551570e-01,1.1767800965500896e-04,6.0174087934683484e-14,7.6217813042403906e+00,-1.4210854715202001e+08,-0.0000000000000000e+00,7.6183334416133839e+00,1.4210855477380130e+08,7.6217813042403906e+00,3.4478626270066925e-03
3.1622776601683792e-13,3.1622776601683794e-11,5.0010440796545552e-01,5.0016737926731114e-01,5.0010440796541211e-01,6.2971301855618833e-05,4.3409720262843621e-14,7.6217813042403906e+00,0.0000000000000000e+00,-0.0000000000000000e+00,7.6166790803882778e+00,7.6217813042403906e+00,7.6217813042403906e+00,5.1022238521127861e-03
9.9999999999999998e-13,1.0000000000000000e-10,5.0010440796545552e-01,5.0015103170153452e-01,5.0010440796541644e-01,4.6623736078998945e-05,3.9079850466805510e-14,7.6217813042403906e+00,-7.1054273576010007e+05,-0.0000000000000000e+00,7.6226347807986601e+00,7.1055035754140432e+05,7.6217813042403906e+00,8.5347655826950586e-04
3.1622776601683794e-12,3.1622776601683795e-10,5.0010440796545552e-01,5.0009997126471439e-01,5.0010440796543298e-01,4.4367007411283410e-06,2.2537527399890678e-14,7.6217813042403906e+00,0.0000000000000000e+00,-0.0000000000000000e+00,7.6217083385126001e+00,7.6217813042403906e+00,7.6217813042403906e+00,7.2965727790474944e-05
9.9999999999999994e-12,9.9999999999999986e-10,5.0010440796545552e-01,5.0010839913738903e-01,5.0010440796546951e-01,3.9911719335039564e-06,1.3988810110276972e-14,7.6217813042403906e+00,-1.4210854715202007e+04,-0.0000000000000000e+00,7.6216024593941967e+00,1.4218476496506248e+04,7.6217813042403906e+00,1.7884484619390406e-04
3.1622776601683794e-11,3.1622776601683795e-09,5.0010440796545552e-01,5.0010671206497415e-01,5.0010440796546651e-01,2.3040995186240920e-06,1.0991207943789050e-14,7.6217813042403906e+00,-1.4210854715202004e+03,-0.0000000000000000e+00,7.6217083385126010e+00,1.4287072528244407e+03,7.6217813042403906e+00,7.2965727789586765e-05
1.0000000000000000e-10,1.0000000000000000e-08,5.0010440796545552e-01,5.0010484642371011e-01,5.0010440796549060e-01,4.3845825459243315e-07,3.5083047578154947e-14,7.6217813042403906e+00,-7.1054273576010004e+01,-0.0000000000000000e+00,7.6217718659836446e+00,7.8676054880250391e+01,7.6217813042403906e+00,9.4382567459305733e-06
3.1622776601683795e-10,3.1622776601683792e-08,5.0010440796545552e-01,5.0010446513155427e-01,5.0010440796543976e-01,5.7166098743621774e-08,1.5765166949677223e-14,7.6217813042403906e+00,7.1054273576010027e+00,2.8421709430404011e+01,7.6217888066425914e+00,5.1635394663938783e-01,2.0799928126163621e+01,7.5024022008207680e-06
1.0000000000000001e-09,1.0000000000000001e-07,5.0010440796545552e-01,5.0010484642371011e-01,5.0010440796543976e-01,4.3845825459243315e-07,1.5765166949677223e-14,7.6217813042403906e+00,6.3948846218409008e+00,1.4210854715202002e+01,7.6217827080053686e+00,1.2268966823994898e+00,6.5890734109616114e+00,1.4037649780362926e-06
3.1622776601683795e-09,3.1622776601683797e-07,5.0010440796545552e-01,5.0010563353693249e-01,5.0010440796548250e-01,1.2255714769704440e-06,2.6978419498391304e-14,7.6217813042403906e+00,7.4606987254810502e+00,1.5347723092418160e+01,7.6217813527526523e+00,1.6108257875934040e-01,7.7259417881777699e+00,4.8512261763278275e-08
1.0000000000000000e-08,9.9999999999999995e-07,5.0010440796545552e-01,5.0010821439627762e-01,5.0010440796541267e-01,3.8064308220953080e-06,4.2854608750531042e-14,7.6217813042403906e+00,7.6241235547058750e+00,1.5248247109411750e+01,7.6217812443324373e+00,2.3422504654844190e-03,7.6264658051713594e+00,5.9907953264826119e-08
3.1622776601683792e-08,3.1622776601683792e-06,5.0010440796545552e-01,5.0011645926214965e-01,5.0010440796544831e-01,1.2051296694126634e-05,7.2164496600635175e-15,7.6217813042403906e+00,7.6212813837628355e+00,1.5242562767525671e+01,7.6217813093845681e+00,4.9992047755509361e-04,7.6207814632852804e+00,5.1441775283933566e-09
